X-Axis,Ch1 Y-Axis,Ch2 Y-Axis,Ch3 Y-Axis
0.0,-0.21806,0.3174,0.19113
0.00024875679305572833,-1.18629,-0.21043,-0.34532
0.0004975135861114567,-0.79449,0.13113,-0.43499
0.000746270379167185,-0.68855,0.02025,-0.61938
0.0009950271722229133,-0.74191,-0.00992,-0.66584
0.0012437839652786418,-0.50994,-0.05913,-0.67962
0.00149254075833437,-0.30044,-0.07696,-0.71614
0.0017412975513900982,0.0229,-0.08545,-0.5952
0.0019900543444458267,0.2905,-0.25476,-0.5214
0.002238811137501555,0.52751,-0.1771,-0.37289
0.0024875679305572836,0.68363,-0.23684,-0.25086
0.0027363247236130116,0.81677,-0.183,-0.23786
0.00298508151666874,0.9305,-0.07552,-0.20726
0.0032338383097244685,0.76297,-0.07441,-0.14949
0.0034825951027801965,0.65357,0.04682,-0.08893
0.003731351895835925,0.5638,0.11337,-0.18017
0.003980108688891653,0.24989,0.21595,-0.3123
0.004228865481947381,0.04119,0.21944,-0.28466
0.00447762227500311,-0.07715,0.21991,-0.20026
0.004726379068058838,-0.19593,0.31549,-0.22529
0.004975135861114567,-0.10977,0.26449,-0.34187
0.005223892654170295,-0.02036,0.2135,-0.33735
0.005472649447226023,0.00532,0.18513,-0.18433
0.005721406240281752,0.38121,0.13633,-0.09487
0.00597016303333748,0.72227,0.06133,-0.12422
0.006218919826393208,0.68592,-0.03354,-0.06194
0.006467676619448937,0.79302,-0.13756,0.16281
0.006716433412504665,1.00792,-0.27128,0.28533
0.006965190205560393,1.00843,-0.34026,0.31108
0.007213946998616122,0.75248,-0.35879,0.39072
0.00746270379167185,0.5006,-0.32433,0.48812
0.007711460584727579,0.34128,-0.26351,0.59045
0.007960217377783307,-0.10416,-0.15614,0.55125
0.008208974170839035,-0.50824,0.0083,0.5146
0.008457730963894763,-0.73738,0.0982,0.58713
0.008706487756950492,-0.93358,0.22915,0.59138
0.00895524455000622,-0.90755,0.32701,0.5793
0.009204001343061948,-1.03901,0.3196,0.53759
0.009452758136117676,-1.0935,0.33815,0.62515
0.009701514929173405,-0.86857,0.25323,0.76624
0.009950271722229134,-0.72353,0.15009,0.77532
0.010199028515284862,-0.50224,0.10132,0.80046
