X-Axis,Ch1 Y-Axis,Ch2 Y-Axis,Ch3 Y-Axis
0.0,0.20018,0.05515,0.48823
0.0002497197626592158,-0.42986,-0.69818,0.17917
0.0004994395253184316,-0.14552,-0.36582,0.23385
0.0007491592879776475,-0.25867,-0.47565,0.17987
0.0009988790506368632,-0.26598,-0.3754,0.23324
0.001248598813296079,-0.30521,-0.18403,0.27202
0.001498318575955295,-0.41672,-0.18247,0.15401
0.0017480383386145107,-0.253,-0.06633,0.09618
0.0019977581012737265,-0.29034,-0.06896,0.06332
0.0022474778639329424,-0.22585,0.0411,0.05089
0.002497197626592158,-0.11548,-0.02482,-0.02283
0.002746917389251374,-0.09712,-0.07126,-0.10324
0.00299663715191059,0.03533,0.13426,-0.13531
0.0032463569145698055,0.14142,0.16392,-0.14434
0.0034960766772290214,0.19939,0.28724,-0.19127
0.003745796439888237,0.28322,0.52642,-0.2866
0.003995516202547453,0.38923,0.56092,-0.34382
0.004245235965206669,0.4393,0.58687,-0.35536
0.004494955727865885,0.41775,0.6232,-0.31392
0.0047446754905251,0.38497,0.57766,-0.36029
0.004994395253184316,0.35516,0.52372,-0.44203
0.005244115015843532,0.3943,0.54439,-0.47621
0.005493834778502748,0.36766,0.592,-0.49534
0.005743554541161964,0.2533,0.52614,-0.44256
0.00599327430382118,0.22621,0.51858,-0.46231
0.006242994066480395,0.17796,0.55083,-0.48725
0.006492713829139611,0.16746,0.46401,-0.47906
0.006742433591798827,0.15406,0.38889,-0.48483
0.006992153354458043,0.08109,0.33626,-0.41026
0.007241873117117259,0.12331,0.24659,-0.37753
0.007491592879776474,0.10886,0.13576,-0.32593
0.00774131264243569,0.05995,0.08797,-0.24289
0.007991032405094906,0.08924,0.08268,-0.19822
0.008240752167754122,0.07049,0.03955,-0.12787
0.008490471930413338,0.03696,0.00307,-0.10945
0.008740191693072554,0.0191,-0.04041,-0.04378
0.00898991145573177,-0.01109,-0.18489,0.06431
0.009239631218390986,-0.05794,-0.30697,0.12463
0.0094893509810502,-0.08919,-0.32525,0.19469
0.009739070743709416,-0.14041,-0.44849,0.17686
0.009988790506368632,-0.20134,-0.54885,0.18891
0.010238510269027848,-0.16459,-0.51209,0.3072
0.010488230031687064,-0.1523,-0.5451,0.39061
0.01073794979434628,-0.21708,-0.53803,0.45069
0.010987669557005496,-0.23379,-0.40882,0.44712
0.011237389319664712,-0.19411,-0.37309,0.43148
0.011487109082323928,-0.11019,-0.42192,0.482
0.011736828844983144,-0.07743,-0.45502,0.57102
0.01198654860764236,-0.08288,-0.51743,0.63819
0.012236268370301574,-0.03881,-0.63496,0.62503
0.01248598813296079,-0.02426,-0.70061,0.61391
0.012735707895620006,0.04153,-0.63156,0.6011
0.012985427658279222,0.06755,-0.65133,0.60119
0.013235147420938438,-0.04608,-0.67467,0.62871
0.013484867183597654,-0.03631,-0.51831,0.60762
0.01373458694625687,0.02532,-0.51091,0.55459
0.013984306708916086,-0.03387,-0.56213,0.49462
0.014234026471575302,-0.06724,-0.42945,0.43999
0.014483746234234518,-0.06205,-0.41533,0.36634
0.014733465996893732,-0.07536,-0.47349,0.31576
0.014983185759552948,-0.00284,-0.32399,0.26082
0.015232905522212164,-0.0192,-0.22721,0.18322
0.01548262528487138,-0.09075,-0.11958,0.13265
0.015732345047530596,-0.0149,0.20286,0.03276
0.015982064810189812,-0.04359,0.37387,-0.0485
0.016231784572849028,-0.03064,0.45648,-0.1011
0.016481504335508244,0.01636,0.56078,-0.13182
0.01673122409816746,-0.05739,0.52698,-0.15108
0.016980943860826676,0.02284,0.4548,-0.23293
0.01723066362348589,0.07462,0.36563,-0.29357
0.017480383386145108,0.04394,0.30875,-0.34657
0.017730103148804324,0.1195,0.25853,-0.34815
0.01797982291146354,0.18785,0.19715,-0.335
0.018229542674122756,0.254,0.2498,-0.36972
0.01847926243678197,0.34023,0.28006,-0.37836
0.018728982199441184,0.36416,0.30116,-0.40439
0.0189787019621004,0.40501,0.41368,-0.38755
0.019228421724759616,0.45489,0.47412,-0.35797
0.019478141487418832,0.43699,0.47825,-0.35146
0.019727861250078048,0.43272,0.50196,-0.31751
0.019977581012737264,0.41604,0.591,-0.31128
0.02022730077539648,0.31413,0.66153,-0.31496
0.020477020538055696,0.15695,0.72799,-0.31156
0.020726740300714912,0.03531,0.86345,-0.29475
0.020976460063374128,-0.07361,0.83929,-0.27915
0.021226179826033344,-0.25044,0.75222,-0.25887
0.02147589958869256,-0.45224,0.71309,-0.23004
0.021725619351351776,-0.616,0.52684,-0.2178
0.02197533911401099,-0.72474,0.30332,-0.17925
0.022225058876670208,-0.78347,0.16989,-0.12476
0.022474778639329424,-0.79274,-0.0213,-0.04019
0.02272449840198864,-0.8322,-0.31496,0.07263
0.022974218164647855,-0.78346,-0.45569,0.18631
0.02322393792730707,-0.57021,-0.51071,0.28179
0.023473657689966287,-0.44552,-0.71448,0.3407
0.023723377452625503,-0.36998,-0.7874,0.48041
0.02397309721528472,-0.20696,-0.77628,0.63835
0.024222816977943932,-0.04882,-0.95425,0.73084
0.024472536740603148,0.09397,-0.99837,0.82242
0.024722256503262364,0.2061,-0.89842,0.838
0.02497197626592158,0.15563,-0.965,0.86495
0.025221696028580796,0.16648,-0.91628,0.92272
0.02547141579124001,0.30017,-0.75347,0.8846
0.025721135553899228,0.23081,-0.80239,0.82551
0.025970855316558444,0.18776,-0.7267,0.75302
0.02622057507921766,0.15956,-0.51498,0.6644
0.026470294841876876,0.06583,-0.43917,0.54283
0.02672001460453609,0.12515,-0.25973,0.3889
0.026969734367195308,0.0759,-0.03737,0.26918
0.027219454129854524,-0.01561,0.07132,0.16986
0.02746917389251374,-0.01253,0.24642,0.07165
0.027718893655172955,-0.02585,0.46228,-0.08316
0.02796861341783217,-0.02313,0.6029,-0.2318
0.028218333180491387,-0.0493,0.70194,-0.34138
0.028468052943150603,-0.07317,0.78724,-0.41845
0.02871777270580982,-0.07169,0.78965,-0.47725
0.028967492468469035,-0.10463,0.74066,-0.59519
0.02921721223112825,-0.19161,0.78497,-0.65866
0.029466931993787464,-0.20255,0.75648,-0.70113
0.02971665175644668,-0.1248,0.67853,-0.74998
0.029966371519105896,-0.15643,0.64281,-0.74763
0.03021609128176511,-0.25142,0.46051,-0.7277
0.030465811044424328,-0.19267,0.34718,-0.6649
0.030715530807083544,-0.04198,0.24803,-0.63293
0.03096525056974276,0.03073,0.10622,-0.60919
0.031214970332401976,0.11934,0.08039,-0.53893
0.03146469009506119,0.1747,-0.01977,-0.4216
0.03171440985772041,0.25791,-0.07807,-0.29038
0.031964129620379624,0.49247,-0.06789,-0.23639
0.03221384938303884,0.59335,-0.06411,-0.19341
0.032463569145698055,0.57952,-0.06413,-0.11123
0.03271328890835727,0.60736,-0.04549,0.00409
0.03296300867101649,0.63679,0.02727,0.05566
0.0332127284336757,0.61972,-0.03899,0.02413
0.03346244819633492,0.50478,-0.07175,0.06811
0.033712167958994135,0.34863,-0.04404,0.12084
0.03396188772165335,0.20762,-0.15105,0.13959
0.03421160748431257,0.1373,-0.14973,0.11454
0.03446132724697178,0.06318,-0.1406,0.0338
0.034711047009631,-0.13397,-0.26754,0.07762
0.034960766772290215,-0.25375,-0.2539,0.16568
0.03521048653494943,-0.19011,-0.2338,0.15768
0.03546020629760865,-0.20593,-0.33585,0.0917
0.03570992606026786,-0.26628,-0.32423,0.05991
0.03595964582292708,-0.24602,-0.29759,0.14411
