X-Axis,Ch1 Y-Axis,Ch2 Y-Axis,Ch3 Y-Axis
0.0,0.1289,0.33521,0.31171
0.0002469291670525406,-0.75886,-0.20787,-0.22311
0.0004938583341050812,-0.45104,0.03429,-0.10179
0.0007407875011576218,-0.41982,-0.15651,-0.1262
0.0009877166682101624,-0.25303,-0.26148,-0.10923
0.001234645835262703,-0.0305,-0.29034,-0.1683
0.0014815750023152436,-0.16412,-0.37107,-0.25972
0.0017285041693677842,0.06436,-0.45301,-0.10168
0.0019754333364203247,0.24251,-0.5173,-0.0603
0.0022223625034728653,0.24587,-0.39948,-0.11671
0.002469291670525406,0.28305,-0.4638,-0.17431
0.0027162208375779463,0.19411,-0.3668,-0.16593
0.0029631500046304873,0.16383,-0.22522,-0.10251
0.003210079171683028,0.07461,-0.11859,-0.16936
0.0034570083387355684,-0.02561,0.14255,-0.29171
0.003703937505788109,-0.0372,0.25697,-0.31958
0.0039508666728406494,-0.26728,0.39308,-0.28886
0.00419779583989319,-0.29604,0.5218,-0.25554
0.0044447250069457305,-0.13756,0.62272,-0.32937
0.0046916541739982715,-0.2996,0.61667,-0.41263
0.004938583341050812,-0.2383,0.50681,-0.30523
0.0051855125081033526,-0.00391,0.49629,-0.25034
0.005432441675155893,0.01622,0.31961,-0.28512
0.005679370842208434,0.18171,0.19208,-0.28223
0.005926300009260975,0.25794,0.07683,-0.28732
0.006173229176313515,0.27687,-0.15779,-0.20454
0.006420158343366056,0.58086,-0.21249,-0.16157
0.006667087510418596,0.71378,-0.26463,-0.25981
0.006914016677471137,0.62843,-0.29405,-0.27229
0.007160945844523677,0.58792,-0.28629,-0.18085
0.007407875011576218,0.69113,-0.20084,-0.11049
0.007654804178628758,0.78025,-0.03767,-0.08857
0.007901733345681299,0.57359,0.04397,-0.11444
0.008148662512733839,0.47857,0.22874,-0.02672
0.00839559167978638,0.51341,0.38293,0.10575
0.008642520846838921,0.53381,0.48824,0.15683
0.008889450013891461,0.50898,0.54807,0.21852
0.009136379180944001,0.27019,0.51925,0.26255
0.009383308347996543,0.442,0.47934,0.40458
0.009630237515049083,0.6314,0.32506,0.48463
0.009877166682101623,0.40451,0.20554,0.48967
0.010124095849154165,0.47191,0.05752,0.62699
0.010371025016206705,0.43409,-0.12554,0.67521
0.010617954183259245,0.27034,-0.2729,0.75089
0.010864883350311785,0.18274,-0.38737,0.83658
0.011111812517364327,-0.2566,-0.45618,0.80802
0.011358741684416867,-0.60119,-0.5203,0.85858
0.011605670851469407,-0.83807,-0.44299,0.8655
0.01185260001852195,-1.33947,-0.44844,0.77809
0.01209952918557449,-1.68925,-0.38245,0.71924
0.01234645835262703,-1.74517,-0.17056,0.64844
0.01259338751967957,-1.80577,-0.19892,0.5821
0.012840316686732111,-1.92981,-0.11922,0.47829
0.013087245853784651,-1.77013,0.05653,0.29856
0.013334175020837192,-1.35799,0.06664,0.19633
0.013581104187889732,-1.12941,0.06491,0.21496
0.013828033354942273,-0.75705,0.11211,0.28752
0.014074962521994814,-0.32493,0.22755,0.29991
0.014321891689047354,-0.13086,0.22112,0.2709
0.014568820856099896,0.33524,0.23259,0.32038
0.014815750023152436,0.66824,0.30864,0.36808
0.015062679190204976,0.59972,0.25229,0.37861
0.015309608357257516,0.74194,0.31496,0.31788
0.015556537524310058,0.89505,0.33983,0.16095
0.015803466691362598,0.82513,0.29505,0.08083
0.01605039585841514,0.71145,0.38412,0.05908
0.016297325025467678,0.53343,0.39378,-0.05254
0.01654425419252022,0.35906,0.36033,-0.14328
0.01679118335957276,0.282,0.30116,-0.18579
0.0170381125266253,0.25824,0.21363,-0.18005
0.017285041693677842,0.2238,0.15173,-0.07009
0.01753197086073038,0.20076,0.05546,-0.01819
0.017778900027782922,0.30562,-0.04807,0.03068
0.018025829194835464,0.49414,-0.17718,0.11663
0.018272758361888002,0.54845,-0.28424,0.20631
0.018519687528940544,0.39537,-0.3235,0.31481
0.018766616695993086,0.29957,-0.29801,0.30454
0.019013545863045624,0.3359,-0.2894,0.29164
0.019260475030098166,0.02238,-0.24027,0.25169
0.019507404197150708,-0.37776,-0.13412,0.13251
0.019754333364203246,-0.37379,-0.09225,-0.03365
0.020001262531255788,-0.55473,-0.01865,-0.28616
0.02024819169830833,-0.81638,0.04846,-0.42433
0.02049512086536087,-0.7274,0.12337,-0.57676
0.02074205003241341,-0.69726,0.10127,-0.82599
0.02098897919946595,-0.69888,0.01128,-0.90414
0.02123590836651849,-0.54221,-0.01059,-0.84933
0.021482837533571032,-0.32866,-0.13976,-0.80877
0.02172976670062357,-0.052,-0.15156,-0.81306
0.021976695867676112,0.21791,-0.13745,-0.77874
0.022223625034728654,0.42178,-0.24697,-0.56909
0.022470554201781193,0.59518,-0.1826,-0.37831
0.022717483368833735,0.83744,-0.12128,-0.43357
0.022964412535886276,0.90912,-0.09434,-0.52077
0.023211341702938815,0.68677,0.01196,-0.41749
0.023458270869991357,0.70366,0.0964,-0.28246
0.0237052000370439,0.59568,0.16736,-0.40256
0.023952129204096437,0.19104,0.18384,-0.61375
0.02419905837114898,0.07649,0.17525,-0.58781
0.024445987538201517,-0.1317,0.14103,-0.44449
0.02469291670525406,-0.31126,0.16026,-0.44876
0.0249398458723066,-0.18412,0.23254,-0.62437
0.02518677503935914,-0.12431,0.14506,-0.65766
0.02543370420641168,-0.01789,0.08352,-0.43102
0.025680633373464223,0.23354,0.12203,-0.29858
0.02592756254051676,0.49526,0.03944,-0.34434
0.026174491707569303,0.56723,-0.04681,-0.27543
0.026421420874621845,0.68993,-0.08993,-0.05739
0.026668350041674383,0.96506,-0.1919,0.10685
0.026915279208726925,0.94402,-0.26913,0.11307
0.027162208375779463,0.77646,-0.31283,0.09981
0.027409137542832005,0.53581,-0.31677,0.266
0.027656066709884547,0.29824,-0.26301,0.39641
0.027902995876937085,0.12542,-0.22242,0.35848
0.028149925043989627,-0.30911,-0.09344,0.32954
0.02839685421104217,-0.58571,0.0432,0.36454
0.028643783378094707,-0.61089,0.07556,0.45468
0.02889071254514725,-0.80358,0.17802,0.44389
0.02913764171219979,-0.92621,0.23501,0.39594
0.02938457087925233,-0.89349,0.22764,0.46001
0.02963150004630487,-0.86286,0.20169,0.55471
0.029878429213357413,-0.80986,0.15114,0.67034
0.03012535838040995,-0.61929,0.11229,0.66464
0.030372287547462493,-0.40327,-0.01108,0.59246
0.03061921671451503,-0.41661,-0.02334,0.6418
0.030866145881567573,-0.28305,-0.05651,0.66776
0.031113075048620115,-0.04015,-0.18775,0.60788
0.03136000421567266,-0.0676,-0.15166,0.45862
0.031606933382725196,-0.09263,-0.16763,0.28552
0.031853862549777734,-0.17688,-0.24512,0.24493
0.03210079171683028,-0.29216,-0.22912,0.20611
0.03234772088388282,-0.31035,-0.17417,0.06008
0.032594650050935356,-0.37441,-0.082,-0.1104
0.0328415792179879,-0.35456,-0.02943,-0.18313
0.03308850838504044,-0.30595,0.04666,-0.1074
0.03333543755209298,-0.24111,0.19941,-0.09919
0.03358236671914552,-0.07757,0.34347,-0.21472
0.03382929588619806,0.05017,0.42716,-0.21532
0.0340762250532506,0.22202,0.43543,-0.02906
0.034323154220303145,0.39938,0.48477,0.17239
0.034570083387355684,0.52767,0.44488,0.1939
0.03481701255440822,0.66469,0.26507,0.14892
0.03506394172146076,0.62698,0.13686,0.26025
0.035310870888513306,0.57456,-0.02668,0.39131
0.035557800055565844,0.55692,-0.19643,0.36274
0.03580472922261838,0.41052,-0.27573,0.24008
0.03605165838967093,0.25378,-0.34194,0.17192
0.036298587556723466,0.01215,-0.3914,0.25644
