X-Axis,Ch1 Y-Axis,Ch2 Y-Axis,Ch3 Y-Axis
0.0,0.30351,-0.03925,0.04926
0.0002477398240058226,-0.35831,-0.39075,-0.05564
0.0004954796480116452,-0.04314,-0.31913,-0.0108
0.0007432194720174677,-0.18179,-0.39543,-0.00169
0.0009909592960232903,-0.09054,-0.34971,-0.0067
0.001238699120029113,-0.0683,-0.317,-0.06362
0.0014864389440349354,-0.21916,-0.29567,-0.07899
0.001734178768040758,-0.09808,-0.13492,-0.03852
0.0019819185920465806,-0.14048,-0.06749,-0.07957
0.0022296584160524033,-0.02946,0.09193,-0.07721
0.002477398240058226,0.05908,0.19031,-0.02794
0.0027251380640640486,0.00178,0.22711,0.03359
0.0029728778880698708,0.03437,0.32226,0.03791
0.0032206177120756934,0.06111,0.33247,-0.01246
0.003468357536081516,0.08455,0.3406,0.04553
0.0037160973600873387,0.10046,0.34088,0.11432
0.003963837184093161,0.05245,0.30109,0.11476
0.0042115770080989835,0.0138,0.19222,0.08421
0.0044593168321048066,0.07243,0.01934,0.07829
0.004707056656110629,0.09869,-0.07542,0.12082
0.004954796480116452,0.04914,-0.14988,0.08083
0.005202536304122274,-0.00594,-0.24644,0.02174
0.005450276128128097,-0.05039,-0.29142,0.043
0.005698015952133919,-0.00137,-0.27769,0.07481
0.0059457557761397415,-0.0058,-0.23132,0.0631
0.006193495600145565,-0.04006,-0.21781,-0.01581
0.006441235424151387,-0.006,-0.16266,-0.02472
0.00668897524815721,-0.04479,-0.07201,0.05776
0.006936715072163032,0.02026,-0.02849,0.09115
0.007184454896168855,0.0164,0.03113,0.07415
0.007432194720174677,-0.08796,0.07354,0.0242
0.0076799345441805,-0.02384,0.08762,0.02306
0.007927674368186323,-0.01256,0.13517,0.06052
0.008175414192192145,-0.05557,0.21618,0.04948
0.008423154016197967,-0.13038,0.26357,0.0294
0.008670893840203791,-0.18383,0.24511,-0.01004
0.008918633664209613,-0.14191,0.22192,-0.03433
0.009166373488215435,-0.15404,0.2109,-0.05242
0.009414113312221258,-0.20967,0.20875,-0.09682
0.009661853136227081,-0.26651,0.20952,-0.11359
0.009909592960232904,-0.26816,0.18587,-0.1314
0.010157332784238726,-0.20737,0.14556,-0.14911
0.010405072608244548,-0.24098,0.10306,-0.17734
0.01065281243225037,-0.25416,0.09999,-0.18278
0.010900552256256194,-0.14014,0.11459,-0.12321
0.011148292080262016,-0.0824,0.08121,-0.08069
0.011396031904267839,-0.01248,0.03036,-0.07058
0.01164377172827366,-0.04656,-0.08439,-0.08631
0.011891511552279483,-0.02724,-0.14198,-0.0676
0.012139251376285307,0.09396,-0.10277,-0.01943
0.01238699120029113,0.03373,-0.1106,-0.01483
0.012634731024296951,0.13542,-0.07407,-0.00887
0.012882470848302774,0.10304,-0.09406,-0.00253
0.013130210672308597,0.02492,-0.06844,0.01334
0.01337795049631442,0.16347,0.04822,0.0161
0.013625690320320242,0.08342,0.07572,0.00105
0.013873430144326064,0.09636,0.13214,0.02599
0.014121169968331886,0.16433,0.11819,0.0439
0.01436890979233771,0.17414,0.12611,0.0338
0.014616649616343532,0.24957,0.18966,0.01805
0.014864389440349355,0.2023,0.16354,0.03227
0.015112129264355177,0.20371,0.17993,0.08086
0.015359869088361,0.35112,0.1834,0.10795
0.015607608912366823,0.46582,0.14408,0.09752
0.015855348736372645,0.39572,0.09708,0.09404
0.016103088560378467,0.25099,0.05115,0.10937
0.01635082838438429,0.2653,-0.03219,0.10292
0.016598568208390112,0.38472,-0.14319,0.07229
0.016846308032395934,0.39813,-0.16571,0.03639
0.01709404785640176,0.17139,-0.1762,0.03161
0.017341787680407582,0.07076,-0.1503,0.02527
0.017589527504413404,0.19248,-0.09733,-0.0248
0.017837267328419226,0.20522,-0.0596,-0.06931
0.01808500715242505,0.16877,0.01777,-0.08503
0.01833274697643087,0.03958,0.07016,-0.07628
0.018580486800436693,0.05604,0.17215,-0.08719
0.018828226624442515,0.21131,0.2143,-0.11693
0.019075966448448337,0.21294,0.15806,-0.12516
0.019323706272454163,0.23369,0.17268,-0.10926
0.019571446096459985,0.18801,0.14431,-0.0786
0.019819185920465807,0.25875,0.13033,-0.05407
0.02006692574447163,0.36358,0.13153,-0.03099
0.02031466556847745,0.25784,0.07599,-0.02304
0.020562405392483274,0.2308,-0.00713,-0.00197
0.020810145216489096,0.23121,-0.10588,0.03483
0.02105788504049492,0.21965,-0.12911,0.05208
0.02130562486450074,0.19808,-0.17831,0.04533
0.021553364688506566,0.1625,-0.21813,0.01782
0.02180110451251239,0.17381,-0.20263,0.03403
0.02204884433651821,0.14185,-0.18806,0.04588
0.022296584160524033,0.10494,-0.10373,0.02098
0.022544323984529855,0.08699,-0.02409,-0.00309
0.022792063808535677,0.07443,0.03094,-0.0094
0.0230398036325415,0.106,0.07769,0.01729
0.02328754345654732,0.05864,0.11405,-0.00427
0.023535283280553144,0.01678,0.14329,-0.02697
0.023783023104558966,0.07397,0.09738,-0.01284
0.02403076292856479,0.05932,0.05802,0.0029
0.024278502752570614,0.07002,0.06292,0.01821
0.024526242576576436,-0.00747,0.0268,0.00374
0.02477398240058226,-0.0827,-0.00048,0.03881
0.02502172222458808,-0.01055,-0.05458,0.07986
0.025269462048593903,-0.05305,-0.13332,0.07465
0.025517201872599725,-0.02454,-0.15377,0.06787
0.025764941696605547,-0.03307,-0.20623,0.05636
0.02601268152061137,-0.08613,-0.21829,0.08046
0.026260421344617195,-0.04154,-0.19815,0.07215
0.026508161168623017,-0.12304,-0.18905,0.0267
0.02675590099262884,-0.12703,-0.11418,0.00293
0.02700364081663466,-0.07919,-0.044,-0.01146
0.027251380640640484,-0.1405,0.07265,-0.00359
0.027499120464646306,-0.18682,0.16438,-0.02208
0.027746860288652128,-0.22379,0.18467,-0.0576
0.02799460011265795,-0.23038,0.19514,-0.07732
0.028242339936663773,-0.1819,0.16056,-0.07737
0.028490079760669598,-0.16542,0.16819,-0.05496
0.02873781958467542,-0.23975,0.17785,-0.04629
0.028985559408681243,-0.32068,0.12826,-0.03826
0.029233299232687065,-0.27033,0.01887,-0.01769
0.029481039056692887,-0.14333,-0.0651,0.0254
0.02972877888069871,-0.13263,-0.05992,0.0672
0.02997651870470453,-0.27732,-0.09598,0.07507
0.030224258528710354,-0.29873,-0.14024,0.08632
0.030471998352716176,-0.19067,-0.20054,0.10116
0.030719738176722,-0.17026,-0.26907,0.11392
0.030967478000727824,-0.20832,-0.26221,0.09843
0.031215217824733646,-0.35989,-0.22812,0.05214
0.031462957648739465,-0.38946,-0.15255,0.04403
0.03171069747274529,-0.31882,-0.09334,0.04154
0.031958437296751116,-0.35313,-0.06588,0.00908
0.032206177120756935,-0.32827,-0.03502,-0.03407
0.03245391694476276,-0.39504,0.01412,-0.06252
0.03270165676876858,-0.39376,0.08827,-0.04119
0.032949396592774405,-0.28532,0.11406,-0.05381
0.033197136416780224,-0.30415,0.10476,-0.10285
