X-Axis,Ch1 Y-Axis,Ch2 Y-Axis,Ch3 Y-Axis
0.0,0.34514,0.11447,0.05896
0.000250219702123999,-0.36558,-0.16055,-0.09645
0.000500439404247998,-0.06134,0.02929,-0.05443
0.000750659106371997,-0.05386,-0.09283,0.00372
0.001000878808495996,0.06171,-0.0428,0.03867
0.001251098510619995,-0.00296,-0.00246,-0.03949
0.001501318212743994,-0.21645,-0.03649,-0.09904
0.001751537914867993,0.02413,0.04065,-0.00975
0.002001757616991992,0.12362,-0.01412,0.02381
0.002251977319115991,0.09041,0.02446,-0.0003
0.00250219702123999,0.11343,-0.00754,-0.03799
0.002752416723363989,0.13241,-0.0248,-0.00947
0.003002636425487988,0.14939,0.05473,0.06527
0.003252856127611987,0.0977,0.00834,0.0329
0.003503075829735986,0.02549,-0.0523,0.00402
0.003753295531859985,0.07144,-0.05528,0.01877
0.004003515233983984,0.09782,-0.07195,0.05392
0.004253734936107983,-0.05872,-0.09886,0.05702
0.004503954638231982,-0.14269,-0.13084,-0.02696
0.004754174340355981,-0.07135,-0.18155,-0.03406
0.00500439404247998,-0.01422,-0.14035,0.00952
0.005254613744603979,0.01074,-0.10242,0.02341
0.005504833446727978,-0.10369,-0.04266,-0.00223
0.005755053148851977,-0.12822,0.03878,-0.06559
0.006005272850975976,0.02222,0.03333,-0.0432
0.006255492553099975,0.02053,0.11988,-0.00247
0.006505712255223974,-0.00017,0.18615,-0.0029
0.006755931957347973,0.01996,0.20652,-0.0021
0.007006151659471972,0.09097,0.24358,0.00366
0.007256371361595971,0.1031,0.20524,0.03696
0.00750659106371997,0.01104,0.15624,0.04901
0.007756810765843969,0.05141,0.09896,0.04221
0.008007030467967968,0.04803,0.07989,0.05367
0.008257250170091967,-0.0252,0.0527,0.06669
0.008507469872215966,-0.04141,-0.0579,0.07509
0.008757689574339965,0.0433,-0.15603,0.07539
0.009007909276463964,0.07317,-0.19787,0.06441
0.009258128978587963,-0.1074,-0.2161,0.05025
0.009508348680711962,-0.12243,-0.24125,0.04326
0.009758568382835961,-0.00795,-0.27484,0.05849
0.01000878808495996,-0.02094,-0.27071,0.06352
0.01025900778708396,-0.024,-0.21404,0.02149
0.010509227489207958,-0.11744,-0.21146,-0.00817
0.010759447191331957,-0.13669,-0.10276,0.01325
0.011009666893455956,-0.0054,0.02666,0.06047
0.011259886595579955,-0.06754,0.02454,0.06687
0.011510106297703954,-0.10053,0.12568,0.02958
0.011760325999827953,-0.16145,0.13566,0.01696
0.012010545701951952,-0.20938,0.19413,0.01685
0.012260765404075951,-0.1421,0.25967,0.00307
0.01251098510619995,-0.30095,0.18687,-0.02152
0.01276120480832395,-0.26047,0.24891,-0.03159
0.013011424510447948,-0.19072,0.15848,-0.04349
0.013261644212571947,-0.32029,0.14772,-0.09055
0.013511863914695946,-0.30489,0.19069,-0.12181
0.013762083616819945,-0.3206,0.10158,-0.11669
0.014012303318943944,-0.24433,0.13522,-0.10635
0.014262523021067943,-0.19035,0.07554,-0.12298
0.014512742723191942,-0.27219,0.05416,-0.1531
0.014762962425315941,-0.20326,0.01982,-0.13683
0.01501318212743994,-0.11215,-0.01274,-0.10599
0.01526340182956394,-0.07203,0.02003,-0.097
0.015513621531687938,-0.00217,-0.0482,-0.07079
0.015763841233811936,-0.00552,-0.01891,-0.02725
0.016014060935935936,-0.02057,-0.00839,0.00203
0.016264280638059937,0.03592,-0.03117,-0.00721
